order_item_id,order_id,item_id,item_name,price,quantity,line_total
72,200034,706,Chicken Hong Kong Style Sauce,299,1,299
73,200034,326,Chicken Achari Tikka,420,2,840
74,200035,947,Chicken Lababdar B/L,320,1,320
75,200035,297,50-50 Paratha,89,1,89
76,200036,234,Ginger Thokku [400 Gm],299,1,299
77,200037,1189,Stuffed capsicum,160,2,320
78,200038,1139,Veg Paratha,70,1,70
79,200039,954,Mooli Paratha (1 Pc),55,1,55
80,200039,600,Panner 65,180,1,180
81,200039,705,Dry Fruit Shake,110,1,110
82,200040,848,Exotic Vegetables In Spicy Bean Sauce,645,1,645
83,200040,946,Mango Pickle - 250Gms,99,3,297
84,200040,393,Dilliwala Masala Chaas,100,1,100
85,200041,341,Chinese Chopsuey,300,1,300
86,200041,898,Chicken Dry Pepper,190,1,190
87,200042,924,Triple Sichuan Veg,285,1,285
88,200042,552,Gobi Pyaz Paratha,115,1,115
89,200043,724,Malvani Chicken Curry,280,1,280
90,200043,1009,Anjal King,405,1,405
91,200044,545,Traditional Legume Pesto,430,1,430
92,200044,1060,Butter Naan (1 Pc),65,2,130
93,200044,637,Chicken Mushroom,235,1,235
94,200045,848,Exotic Vegetables In Spicy Bean Sauce,645,1,645
95,200045,920,"Dal Makhni Combo ( 3 Roti, Rice )",329,1,329
96,200045,953,Kitkat Milkshake,87,2,174
97,200046,1178,Black Peppered Chicken Noodles,210,1,210
98,200046,639,Babycorn 65,150,1,150
99,200046,1186,Jaljira With A Twist,89,1,89
100,200047,1068,Steamed rice (Raita),135,1,135
101,200047,1056,Haryali Paneer Kabab,250,1,250
102,200048,587,Garlic Cheese Kulcha,48,1,48
103,200048,380,Simply Nachos,250,1,250
104,200049,954,Mooli Paratha (1 Pc),55,1,55
105,200049,66,Banana Bhaji (4 Pcs),50,1,50
106,200050,848,Exotic Vegetables In Spicy Bean Sauce,645,1,645
107,200050,726,Imperial Mix Mutton Parotta,190,1,190
108,200051,264,Vegetable Noodles,200,2,400
109,200051,1193,Chicken Pepper Dry [boneless],255,1,255
110,200052,1026,Kadhi Gole,309,1,309
111,200053,864,Cream Chicken,329,1,329
112,200053,1105,Tripple Chocolate Scoop,48,1,48
113,200054,163,Malai Kofta (sweet) (400 -500 Grm),279,1,279
114,200054,1060,Butter Naan (1 Pc),65,2,130
115,200055,702,Pindi Chole,140,1,140
116,200055,1060,Butter Naan (1 Pc),65,1,65
117,200056,1034,Braised Cottage Cheese In Ginger Coriander Sauce,645,1,645
118,200057,1136,Hyderabadi Bhurji Rice [400 Gm],210,1,210
119,200057,639,Babycorn 65,150,2,300
120,200057,516,Cheese Dahi Puri,75,1,75
121,200058,541,Soya Keema Masala,360,1,360
122,200059,1148,Murgh Dum Biryani,260,1,260
123,200059,584,French Fries With Choice Of Seasoning,185,1,185
124,200059,1053,Curryleaf Chicken,269,1,269
125,200060,40,Fresh Pork Naga Dal,360,1,360
126,200060,1169,Paneer Tikka Achari,279,1,279
127,200060,181,Chicken garlic kebab (6 pcs),315,1,315
128,200061,1188,Hyd. Mutton Biriyani (fry Pieces),280,2,560
129,200061,567,Indonesian Mushroom,250,1,250
130,200062,1058,Veg Chinese Chop Suey Soft Noodles (Bland),250,1,250
131,200062,593,Prawn Fry,250,1,250
132,200062,474,Honey Noodles With Roasted Almonds,205,1,205
133,200063,595,Veg Pulao (250 Gms),48,1,48
134,200063,326,Chicken Achari Tikka,420,1,420
135,200063,670,Tandoori Aloo,300,1,300
136,200064,1136,Hyderabadi Bhurji Rice [400 Gm],210,2,420
137,200064,381,Kai Ga Prao,260,1,260
138,200064,503,Macaco Banana,180,2,360
139,200065,14,Mutton Spicy Andhara Biryani,440,1,440
140,200065,46,Dragon Vegetables,195,1,195
141,200065,552,Gobi Pyaz Paratha,115,1,115
142,200066,125,Pesto Paneer,380,1,380
143,200066,839,Thai Fried Prawns,350,2,700
144,200066,754,Atta Laddu,200,1,200
145,200067,330,Chicken Roasted Garlic Noodles,245,1,245
146,200067,472,Boneless Mutton Keema Hyderabadi,450,1,450
147,200068,954,Mooli Paratha (1 Pc),55,1,55
148,200069,993,Prawn Chengdu Chowmien,300,1,300
149,200070,725,Veg Special Gravy,195,1,195
150,200070,123,Murg E Pathani Full,415,1,415
151,200070,74,Walnut Brownie,99,1,99
152,200071,442,Vegetable Pulao (Amul Butter),169,1,169
153,200071,100,Prawns Pepper,29,1,29
154,200071,1106,Green Pepper Chilli  B/L,319,1,319
155,200072,1115,Bonless Chicken Dum Biryani,350,1,350
156,200073,780,Bharwan Kulcha Cheese (1 Pc),109,1,109
157,200073,916,Mushroom Tikka Dry,210,1,210
158,200074,219,Chicken Biryani [500gms] Served With Mixveg Raita,249,1,249
159,200074,181,Chicken garlic kebab (6 pcs),315,1,315
160,200074,909,New York Cheesecake,209,1,209
161,200074,1056,Haryali Paneer Kabab,250,1,250
162,200075,1161,Donne Chicken Lollipop Biriyani,235,1,235
163,200076,1022,Chicken tangri masala (4 pcs),415,1,415
164,200076,1071,Chatpata Tandoori Aloo,260,1,260
165,200077,801,Assamese Non-veg Thali 299,329,1,329
166,200077,167,Max Tandoori Chicken Kasuri,300,2,600
167,200077,474,Honey Noodles With Roasted Almonds,205,2,410
168,200078,8,Veg Garlic Hakka Noodles,239,1,239
169,200079,583,Baby Corn Kadai,95,1,95
170,200079,1071,Chatpata Tandoori Aloo,260,2,520
171,200080,396,Maxican Fried Rice,269,1,269
172,200081,25,Chicken Chinese Chop Suey (Bland),265,1,265
173,200081,875,Dachen Chicken,299,1,299
174,200082,887,Aloo Mattar Dry,95,1,95
175,200083,40,Fresh Pork Naga Dal,360,1,360
176,200084,372,Anda Biryani,300,1,300
177,200085,129,Naadan Mutton Curry,350,1,350
178,200085,697,Chocolate Mint Fresh Batch Ice Cream Tub - 1 L,571,1,571
179,200086,541,Soya Keema Masala,360,1,360
180,200086,469,Papad Rosted,35,1,35
181,200086,1051,Chocolate Brownie & Ice cream Jar,179,3,537
182,200087,201,Braised Pork Grilled Tacos,375,3,1125
183,200087,726,Imperial Mix Mutton Parotta,190,1,190
184,200088,443,Veg Hunan (gravy)(chinese),260,1,260
185,200089,629,Roots Special Hara Murgh Biryani,339,1,339
186,200089,373,Matar Paratha ( 1 Pc ),139,3,417
187,200090,617,Chilli Garlic Egg Noodles,190,2,380
188,200090,720,Boneless Chicken Nagarjuna Roast,355,1,355
189,200090,1032,Rooh Afza Milk Shake,100,3,300
190,200091,453,Makai Methi Malai,250,2,500
191,200091,703,Gobi 65,185,1,185
192,200091,327,Black Currant,80,2,160
193,200092,583,Baby Corn Kadai,95,1,95
194,200092,208,Peri Peri Fries,90,1,90
195,200093,929,Veg Chilli Garlic Noodles,210,1,210
196,200094,823,Veg Tawa Style,370,1,370
197,200095,35,Mangalorean Style - White Pomfret Fish Curry [1pc],399,1,399
198,200096,330,Chicken Roasted Garlic Noodles,245,1,245
199,200096,475,Chiku Milk Shake,100,2,200
200,200097,224,Dahiwala Bhuna Kukkad,350,1,350
201,200097,250,Tawa Gobhi Paratha (2 Pcs),149,3,447
202,200098,904,Gatta Masala,180,1,180
203,200098,167,Max Tandoori Chicken Kasuri,300,1,300
204,200099,105,Murgh Hara Pyaaz,290,1,290
205,200099,472,Boneless Mutton Keema Hyderabadi,450,1,450
206,200099,62,Malai Gilori (2 Pcs),76,1,76
207,200100,904,Gatta Masala,180,1,180
208,200100,415,Pav Bhaji Family Pack,389,1,389
209,200101,219,Chicken Biryani [500gms] Served With Mixveg Raita,249,1,249
210,200101,169,Chilli Garlic Prawn,30,1,30
211,200102,836,Dal Lasuni Tadka,240,1,240
212,200102,586,Hot and Sour Chicken,280,1,280
213,200103,1058,Veg Chinese Chop Suey Soft Noodles (Bland),250,1,250
214,200103,587,Garlic Cheese Kulcha,48,1,48
215,200104,626,Egg In Choice Of Sauce,165,1,165
216,200105,729,Hyderabad Chicken Biryani,190,1,190
217,200106,1001,Paneer Mumtaj,259,1,259
218,200106,473,Murg Sheek Kebab,155,1,155
219,200107,579,Kungpao Veg With Rice,285,1,285
220,200108,1161,Donne Chicken Lollipop Biriyani,235,1,235
221,200109,904,Gatta Masala,180,2,360
222,200109,986,Rasgulla Tin Pack,119,3,357
223,200110,617,Chilli Garlic Egg Noodles,190,2,380
224,200111,1184,Fish Curry Rice Bowl,209,3,627
225,200111,916,Mushroom Tikka Dry,210,1,210
226,200111,1020,Wok Tossed Chilli Fish,590,2,1180
227,200112,794,Achari Matki Subzi,240,1,240
228,200112,169,Chilli Garlic Prawn,30,1,30
229,200112,577,Kesar Badam (200 ml),60,1,60
230,200113,1173,Murgh Bemisal,449,3,1347
231,200113,659,Boiled Eggs (2 Pcs),30,1,30
232,200114,1001,Paneer Mumtaj,259,1,259
233,200114,1060,Butter Naan (1 Pc),65,1,65
234,200115,294,Fish Autumn Rice  (Szechuan Style),360,1,360
235,200115,559,Egg Omelette (2 Eggs),110,1,110
236,200115,181,Chicken garlic kebab (6 pcs),315,1,315
237,200116,579,Kungpao Veg With Rice,285,1,285
238,200117,1115,Bonless Chicken Dum Biryani,350,1,350
239,200117,670,Tandoori Aloo,300,1,300
240,200117,717,Mushroom Chilly Dry,110,1,110
241,200118,1188,Hyd. Mutton Biriyani (fry Pieces),280,1,280
242,200118,593,Prawn Fry,250,3,750
243,200119,531,Naga Dal,160,1,160
244,200119,1053,Curryleaf Chicken,269,1,269
245,200119,9,Pepsi (250 Ml),40,2,80
246,200119,262,Cheezy Choley Bhature,249,1,249
247,200120,613,Grilled Chicken Grilled Tacos,340,1,340
248,200121,243,Vegetable Gulabi,290,1,290
249,200121,653,Lychee Juice,160,1,160
250,200122,606,Fish Biryani,329,2,658
251,200122,273,Butter Phulka,25,1,25
252,200123,973,Chicken Kung Pow (gravy) (chinese),320,1,320
253,200124,993,Prawn Chengdu Chowmien,300,1,300
254,200124,416,Butter Shake,90,2,180
255,200125,896,Tawa Jhinga,469,1,469
256,200125,260,Chilli Chicken- Andhra Style,290,1,290
257,200125,697,Chocolate Mint Fresh Batch Ice Cream Tub - 1 L,571,2,1142
258,200126,8,Veg Garlic Hakka Noodles,239,1,239
259,200126,916,Mushroom Tikka Dry,210,1,210
260,200126,397,Apple Milk Shake,51,1,51
261,200126,518,Prawn Chilly Dry,250,1,250
262,200127,519,Mushroom Baby Corn,260,1,260
263,200127,552,Gobi Pyaz Paratha,115,1,115
264,200128,152,Grilled Chicken With Thyme Sauce,350,1,350
265,200128,637,Chicken Mushroom,235,1,235
266,200129,668,Crab Manchurian,220,1,220
267,200129,672,Malabar Lachha Paratha [150 Grams],95,1,95
268,200130,127,Mixed Vegetable Paratha PD,150,3,450
269,200131,798,Chicken Kolhapuri,249,1,249
270,200131,890,Baby corn Manchurian Dry,199,1,199
271,200132,617,Chilli Garlic Egg Noodles,190,1,190
272,200132,570,Mutton Garlic,300,1,300
273,200132,685,Pour Over-Hot,171,1,171
274,200132,239,Punjabi Salted Lassi,99,1,99
275,200133,1085,Paneer Butter Masala Thali,289,1,289
276,200133,1169,Paneer Tikka Achari,279,1,279
277,200133,697,Chocolate Mint Fresh Batch Ice Cream Tub - 1 L,571,2,1142
278,200134,1021,1 Prawns Curry With 1 Rice,268,2,536
279,200135,1097,Boneless 2 Persons Chicken Biryani,760,1,760
280,200135,181,Chicken garlic kebab (6 pcs),315,1,315
281,200135,1186,Jaljira With A Twist,89,1,89
282,200136,1058,Veg Chinese Chop Suey Soft Noodles (Bland),250,1,250
283,200136,890,Baby corn Manchurian Dry,199,1,199
284,200136,1146,Badam Milk,28,1,28
285,200137,541,Soya Keema Masala,360,3,1080
286,200137,951,Oreo Tahiti Thickshake/ Slow Sipper,119,1,119
287,200137,275,Paneer Paratha [pc 1],220,1,220
288,200138,702,Pindi Chole,140,3,420
289,200138,304,Subzi Aur Quinoa Tikki (signature Dish),395,1,395
290,200138,1199,Cappuccino-Iced,190,1,190
291,200138,796,Lasuni Soya Chaap [300 Grams],30,1,30
292,200139,780,Bharwan Kulcha Cheese (1 Pc),109,1,109
293,200139,263,Mutton Fried,340,1,340
294,200140,1117,Dal Punjabi,95,1,95
295,200140,195,Achari Paneer Tikka,285,1,285
296,200140,306,Litchi Rabdi,77,1,77
297,200141,224,Dahiwala Bhuna Kukkad,350,1,350
298,200142,1019,Palak Dal,140,1,140
299,200142,1071,Chatpata Tandoori Aloo,260,1,260
300,200143,414,Dum gosht handi,345,1,345
301,200144,59,Bangda Fish Curry,250,1,250
302,200144,227,Missi Chef,65,1,65
303,200145,1187,Gobi Chinese Chilli Gravy,330,1,330
304,200145,195,Achari Paneer Tikka,285,1,285
305,200146,1167,Jeera Aloo( Served With 3 Fulkas),239,1,239
306,200146,1053,Curryleaf Chicken,269,1,269
307,200147,107,Hyderabad Spl Chicken,299,1,299
308,200147,15,Dahikebab,339,1,339
309,200147,1005,Fig & Honey Ice Cream Scoop,60,1,60
310,200147,639,Babycorn 65,150,2,300
311,200148,152,Grilled Chicken With Thyme Sauce,350,1,350
312,200149,16,Ghee South Indian Flavoured Rice,235,1,235
313,200149,1060,Butter Naan (1 Pc),65,1,65
314,200150,809,Devils Prawn,380,2,760
315,200151,762,Methi Matar Kaju Makhana,210,1,210
316,200151,965,Prawn Nam Prik Pao,399,1,399
317,200152,646,Royal Chicken Rice Bowl (Jumbo),329,1,329
318,200152,325,Chicken Pepper Dry ( 6 Pcs ),180,2,360
319,200152,112,Monster Mango Loco (350 ml),105,1,105
320,200152,672,Malabar Lachha Paratha [150 Grams],95,1,95
321,200153,545,Traditional Legume Pesto,430,1,430
322,200154,55,Mustard/sorshe Style - Tilapia [jilapi] Fish Curry [1 Pc],199,1,199
323,200154,208,Peri Peri Fries,90,1,90
324,200154,720,Boneless Chicken Nagarjuna Roast,355,2,710
325,200155,1145,Fixed Lunch Sunday,280,1,280
326,200156,120,Biriyani Rice [hyderabadi],48,1,48
327,200156,222,Neelkamal Special Toast [1 Toast],169,1,169
328,200157,904,Gatta Masala,180,2,360
329,200157,1125,Chilli Chicken (B/L),319,1,319
330,200157,462,Mango & Raspberry  Ice Cream,215,1,215
331,200158,127,Mixed Vegetable Paratha PD,150,1,150
332,200158,218,Chilli Beef,279,2,558
333,200159,822,Baby Corn Chilli Fried Rice,255,1,255
334,200159,381,Kai Ga Prao,260,1,260
335,200159,393,Dilliwala Masala Chaas,100,1,100
336,200160,822,Baby Corn Chilli Fried Rice,255,2,510
337,200160,237,Pineapple Single Blends,155,1,155
338,200161,390,Veg Fried Rice And Gravy,285,2,570
339,200161,990,Solkadi,169,1,169
340,200161,1174,Samosa Aloo Parantha,51,1,51
341,200162,1068,Steamed rice (Raita),135,1,135
342,200162,380,Simply Nachos,250,2,500
343,200163,179,Lasooni Palak,51,1,51
344,200163,726,Imperial Mix Mutton Parotta,190,1,190
345,200163,260,Chilli Chicken- Andhra Style,290,1,290
346,200164,163,Malai Kofta (sweet) (400 -500 Grm),279,1,279
347,200165,823,Veg Tawa Style,370,1,370
348,200165,1111,Lemon Chicken Dry Boneless,289,1,289
349,200166,1068,Steamed rice (Raita),135,1,135
350,200167,725,Veg Special Gravy,195,1,195
351,200168,269,Vegetable Balls In Hot Garlic Sauce,300,3,900
352,200169,442,Vegetable Pulao (Amul Butter),169,1,169
353,200169,1053,Curryleaf Chicken,269,2,538
354,200169,148,Mocha Thick Shake,185,1,185
355,200170,729,Hyderabad Chicken Biryani,190,1,190
356,200170,920,"Dal Makhni Combo ( 3 Roti, Rice )",329,1,329
357,200170,503,Macaco Banana,180,1,180
358,200171,24,Egg Bhurjee,100,1,100
359,200171,665,Murgh Reshmi Seekh Kebab,315,1,315
360,200171,672,Malabar Lachha Paratha [150 Grams],95,1,95
361,200172,851,Desi Style Mutton Curry,560,1,560
362,200172,9,Pepsi (250 Ml),40,1,40
363,200173,1117,Dal Punjabi,95,1,95
364,200173,29,Crispy Vegetables In Chilli Plum Sauce,265,1,265
365,200174,917,Egg Schezwan Curry,210,1,210
366,200174,498,Fish Corinder,350,2,700
367,200175,613,Grilled Chicken Grilled Tacos,340,1,340
368,200175,703,Gobi 65,185,2,370
369,200176,314,Mix Fried Rice,220,1,220
370,200176,100,Prawns Pepper,29,1,29
371,200176,422,Punjabi Lassi,48,1,48
372,200177,1029,Chicken Mole,415,1,415
373,200177,703,Gobi 65,185,1,185
374,200178,626,Egg In Choice Of Sauce,165,1,165
375,200178,273,Butter Phulka,25,2,50
376,200179,804,Asian Sea Bass In Roasted Garlic Sauce (Calcutta Bhetki),675,1,675
377,200179,927,Red Velvet Cookie,179,1,179
378,200180,127,Mixed Vegetable Paratha PD,150,1,150
379,200181,63,Chilli Garlic Mixed Noodles,225,1,225
380,200181,358,Swiss Cake 800 ML,315,1,315
381,200182,913,Paneer Kulcha,90,1,90
382,200182,908,Sing Chikki,112,1,112
383,200183,396,Maxican Fried Rice,269,1,269
384,200183,473,Murg Sheek Kebab,155,1,155
385,200183,112,Monster Mango Loco (350 ml),105,1,105
386,200184,781,Punjabi Egg Curry [250 Gm],110,2,220
387,200184,304,Subzi Aur Quinoa Tikki (signature Dish),395,1,395
388,200185,508,Punjabi Dal Combo,240,1,240
389,200185,637,Chicken Mushroom,235,1,235
390,200185,479,Chocolate Ice cream Scoop,50,1,50
391,200186,63,Chilli Garlic Mixed Noodles,225,1,225
392,200186,167,Max Tandoori Chicken Kasuri,300,1,300
393,200186,36,Salt Matri 250Gm,95,1,95
394,200187,557,Veg Hyderabadi Biryani Bowl,129,2,258
395,200187,5,Fruit Salad,200,1,200
396,200187,591,Flamed Platter 3 (Seafood Platter),750,1,750
397,200188,14,Mutton Spicy Andhara Biryani,440,1,440
398,200188,570,Mutton Garlic,300,1,300
399,200189,585,Egg Schezwan Fried Rice,220,3,660
400,200189,577,Kesar Badam (200 ml),60,1,60
401,200190,801,Assamese Non-veg Thali 299,329,1,329
402,200190,587,Garlic Cheese Kulcha,48,1,48
403,200191,993,Prawn Chengdu Chowmien,300,1,300
404,200191,1192,Tandoori Kebab (6 Pcs),190,1,190
405,200192,879,Chicken Handi Biryani [1kg][served in handi and mix veg raita],529,1,529
406,200193,913,Paneer Kulcha,90,1,90
407,200193,518,Prawn Chilly Dry,250,1,250
408,200194,40,Fresh Pork Naga Dal,360,1,360
409,200194,446,Tandoori Chicken (Full),640,2,1280
410,200194,770,Caribbean Sunshine,180,1,180
411,200195,804,Asian Sea Bass In Roasted Garlic Sauce (Calcutta Bhetki),675,1,675
412,200195,328,Bhel puri,70,1,70
413,200195,335,North Executive Thali + Watermelon Juice,220,1,220
414,200196,219,Chicken Biryani [500gms] Served With Mixveg Raita,249,1,249
415,200196,328,Bhel puri,70,1,70
416,200197,71,Ari Fish,280,1,280
417,200197,297,50-50 Paratha,89,1,89
418,200198,414,Dum gosht handi,345,1,345
419,200199,120,Biriyani Rice [hyderabadi],48,1,48
420,200199,166,Chilly Gobi,245,1,245
421,200200,224,Dahiwala Bhuna Kukkad,350,1,350
422,200201,809,Devils Prawn,380,1,380
423,200201,325,Chicken Pepper Dry ( 6 Pcs ),180,1,180
424,200202,973,Chicken Kung Pow (gravy) (chinese),320,1,320
425,200202,774,Hard Base Pizza 6',97,1,97
426,200202,754,Atta Laddu,200,1,200
427,200203,617,Chilli Garlic Egg Noodles,190,1,190
428,200203,665,Murgh Reshmi Seekh Kebab,315,1,315
429,200203,696,Chicken Kabab 5pi+ Sprit 600 Ml Pet Bottle,259,1,259
430,200204,90,Classic Chicken Veniziana,545,1,545
431,200204,277,Plain Naan (1 Pc),27,1,27
432,200204,1005,Fig & Honey Ice Cream Scoop,60,1,60
433,200205,557,Veg Hyderabadi Biryani Bowl,129,1,129
434,200205,946,Mango Pickle - 250Gms,99,1,99
435,200205,986,Rasgulla Tin Pack,119,1,119
436,200206,1173,Murgh Bemisal,449,1,449
437,200206,242,Chat-pata Dhaba Chilli Cauliflower,345,1,345
438,200207,442,Vegetable Pulao (Amul Butter),169,1,169
439,200207,631,Mix Veg Garlic Cheese,250,2,500
440,200207,290,Doda Burfi,188,1,188
441,200208,130,Prawns In Chilli Basil Sauce,545,1,545
442,200208,1193,Chicken Pepper Dry [boneless],255,1,255
443,200209,1034,Braised Cottage Cheese In Ginger Coriander Sauce,645,1,645
444,200210,414,Dum gosht handi,345,2,690
445,200211,752,Ginger Fish Sauce,330,1,330
446,200212,801,Assamese Non-veg Thali 299,329,1,329
447,200213,674,Pan-Seared Prawns Soft Tacos,390,1,390
448,200213,1169,Paneer Tikka Achari,279,1,279
449,200213,333,Gulab E Jamun,110,1,110
450,200213,490,Coriander Fish,330,1,330
451,200214,1012,Prawn Lat Lo Chowmien,215,1,215
452,200214,64,Chilly Chicken Andhra Style,289,1,289
453,200214,462,Mango & Raspberry  Ice Cream,215,1,215
454,200215,443,Veg Hunan (gravy)(chinese),260,1,260
455,200216,836,Dal Lasuni Tadka,240,1,240
456,200216,250,Tawa Gobhi Paratha (2 Pcs),149,1,149
457,200217,1145,Fixed Lunch Sunday,280,1,280
458,200217,516,Cheese Dahi Puri,75,1,75
459,200218,16,Ghee South Indian Flavoured Rice,235,1,235
460,200218,870,Vegetable Seekh Kebab,300,1,300
461,200218,275,Paneer Paratha [pc 1],220,1,220
462,200219,508,Punjabi Dal Combo,240,1,240
463,200219,26,Aloo 65,48,2,96
464,200220,917,Egg Schezwan Curry,210,1,210
465,200220,720,Boneless Chicken Nagarjuna Roast,355,1,355
466,200220,1032,Rooh Afza Milk Shake,100,1,100
467,200221,18,Executive Mushroom Biryani [500 Ml],128,1,128
468,200222,626,Egg In Choice Of Sauce,165,1,165
469,200222,457,Chicken Sholay Kabab (B/L),319,2,638
470,200222,462,Mango & Raspberry  Ice Cream,215,1,215
471,200223,727,Mutton Liver Masala,230,1,230
472,200223,902,Mocha Brownie Fudge [loose Tub 500 Ml],200,1,200
473,200224,71,Ari Fish,280,1,280
474,200224,796,Lasuni Soya Chaap [300 Grams],30,2,60
475,200225,798,Chicken Kolhapuri,249,1,249
476,200225,446,Tandoori Chicken (Full),640,1,640
477,200225,457,Chicken Sholay Kabab (B/L),319,1,319
478,200226,105,Murgh Hara Pyaaz,290,1,290
479,200226,591,Flamed Platter 3 (Seafood Platter),750,1,750
480,200227,264,Vegetable Noodles,200,1,200
481,200227,1028,Malpua With Rabadi,189,1,189
482,200228,798,Chicken Kolhapuri,249,1,249
483,200228,946,Mango Pickle - 250Gms,99,1,99
484,200229,617,Chilli Garlic Egg Noodles,190,1,190
485,200229,593,Prawn Fry,250,1,250
486,200230,379,Baghara Bhat Fried Rice,220,1,220
487,200230,304,Subzi Aur Quinoa Tikki (signature Dish),395,1,395
488,200231,954,Mooli Paratha (1 Pc),55,1,55
489,200231,1100,Orange,70,1,70
490,200231,1174,Samosa Aloo Parantha,51,1,51
491,200232,508,Punjabi Dal Combo,240,1,240
492,200232,189,Desi Ghee Aloo Tikki,109,1,109
493,200233,606,Fish Biryani,329,1,329
494,200233,110,Schezwan Chicken Noodles + Coke (300 Ml ),280,1,280
495,200234,924,Triple Sichuan Veg,285,2,570
496,200234,245,Kashmiri Grilled Prawns,350,1,350
497,200234,600,Panner 65,180,1,180
498,200235,1188,Hyd. Mutton Biriyani (fry Pieces),280,2,560
499,200236,613,Grilled Chicken Grilled Tacos,340,1,340
500,200236,435,Kid's Treat,179,1,179
501,200237,613,Grilled Chicken Grilled Tacos,340,2,680
502,200237,1056,Haryali Paneer Kabab,250,1,250
503,200238,24,Egg Bhurjee,100,1,100
504,200238,857,Paneer Jamoon,181,1,181
505,200239,258,Mushroom Masala Rice Bowl,149,1,149
506,200239,237,Pineapple Single Blends,155,1,155
507,200240,531,Naga Dal,160,1,160
508,200241,240,Chicken In Oyster Scallop Sauce,595,1,595
509,200241,670,Tandoori Aloo,300,1,300
510,200242,1029,Chicken Mole,415,1,415
511,200242,325,Chicken Pepper Dry ( 6 Pcs ),180,1,180
512,200243,442,Vegetable Pulao (Amul Butter),169,1,169
513,200243,584,French Fries With Choice Of Seasoning,185,1,185
